Date,Visitor,Home,Away_final_score,Home_final_score,Moneyline_away,Moneyline_home,Opening_spread,Closing_spread,Opening_total,Closing_total,Away_spread_Open,Home_spread_Open,Away_spread_Close,Home_spread_Close,2H_spread,2H_total
2017-11-26,Chicago,Philadelphia,3,31,-1200,750,13.0,13.5,44.0,43.0,-13.0,13.0,-13.5,13.5,4.5,18.5
2017-11-26,Miami,NewEngland,17,35,-2000,1000,17.0,16.5,47.0,49.0,-17.0,17.0,-16.5,16.5,6.0,24.0
2017-11-26,Buffalo,KansasCity,16,10,-420,320,10.0,9.0,47.0,46.5,-10.0,10.0,-9.0,9.0,7.0,23.0
2017-11-26,TampaBay,Atlanta,20,34,-650,450,10.0,10.0,48.0,47.0,-10.0,10.0,-10.0,10.0,3.0,23.0
2017-11-26,Carolina,NYJets,35,27,210,-260,4.0,6.0,39.5,39.5,4.0,-4.0,6.0,-6.0,3.0,19.5
2017-11-26,Tennessee,Indianapolis,20,16,150,-180,3.0,3.0,46.0,46.5,3.0,-3.0,3.0,-3.0,3.5,23.5
2017-11-26,Seattle,SanFrancisco,24,13,250,-310,7.0,6.5,43.0,45.0,7.0,-7.0,6.5,-6.5,3.0,20.5
2017-11-26,NewOrleans,LARams,20,26,-150,130,2.5,2.5,53.5,54.0,-2.5,2.5,-2.5,2.5,2.5,27.5
2017-11-26,Jacksonville,Arizona,24,27,220,-270,5.0,6.5,38.0,36.5,5.0,-5.0,6.5,-6.5,4.5,20.0
2017-11-26,Denver,Oakland,14,21,-220,180,5.0,4.0,44.0,41.0,-5.0,5.0,-4.0,4.0,0.0,17.5
2017-11-26,GreenBay,Pittsburgh,28,31,-1200,750,13.5,14.0,41.5,43.0,-13.5,13.5,-14.0,14.0,7.5,23.0
2017-11-27,Houston,Baltimore,16,23,-390,310,7.0,7.5,38.0,39.5,-7.0,7.0,-7.5,7.5,2.5,20.5
2017-11-30,Washington,Dallas,14,38,107,-127,1.0,2.0,44.0,47.0,1.0,-1.0,2.0,-2.0,6.0,23.5
